Назва,Режисер,Рік,Рейтинги,Жанр,Тривалість,Бюджет,Касові збори
"The Shawshank Redemption","Френк Дарабонт",1994,"9.3 9.4 9.2 9.3",Драма,142,25,58.3
"The Godfather","Френсіс Форд Коппола",1972,"9.2 9.3 9.1 9.2",Кримінал,175,6,250
"The Dark Knight","Крістофер Нолан",2008,"9.0 9.1 8.9 9.0",Бойовик,152,185,1005
"12 Angry Men","Сідні Люмет",1957,"9.0 8.9 9.1",Драма,96,0.3,2
"Schindler's List","Стівен Спілберг",1993,"8.9 9.0 8.8 8.9",Драма,195,22,322
"The Lord of the Rings: The Return of the King","Пітер Джексон",2003,"8.9 9.0 8.8",Фентезі,201,94,1146
"Pulp Fiction","Квентін Тарантіно",1994,"8.9 8.8 9.0 8.7",Кримінал,154,8,213
"The Good, the Bad and the Ugly","Серджіо Леоне",1966,"8.8 8.9 8.7",Вестерн,178,1.2,38
"Fight Club","Девід Фінчер",1999,"8.8 8.7 8.9",Драма,139,63,101
"Forrest Gump","Роберт Земекіс",1994,"8.8 8.7 8.9 8.6",Драма,142,55,678
"Inception","Крістофер Нолан",2010,"8.7 8.8 8.6 8.7",Фантастика,148,160,836
"The Matrix","Вачовські",1999,"8.7 8.6 8.8",Фантастика,136,63,465
"Goodfellas","Мартін Скорсезе",1990,"8.7 8.6 8.8 8.5",Кримінал,145,25,46.8
"Star Wars: Episode V","Ірвін Кершнер",1980,"8.7 8.8 8.6",Фантастика,124,18,538
"One Flew Over the Cuckoo's Nest","Мілош Форман",1975,"8.7 8.6 8.8",Драма,133,3,163
"Interstellar","Крістофер Нолан",2014,"8.6 8.7 8.5 8.6",Фантастика,169,165,677
"City of God","Фернанду Мейреллеш",2002,"8.6 8.7 8.5",Кримінал,130,3.3,30.6
"Spirited Away","Хаяо Міядзакі",2001,"8.6 8.5 8.7",Аніме,125,19,395
"Saving Private Ryan","Стівен Спілберг",1998,"8.6 8.5 8.7 8.4",Війна,169,70,482
"The Green Mile","Френк Дарабонт",1999,"8.6 8.5 8.7",Драма,189,60,286
"Life Is Beautiful","Роберто Беніньї",1997,"8.6 8.5 8.7",Комедія,116,20,229
"Se7en","Девід Фінчер",1995,"8.6 8.5 8.7 8.4",Трилер,127,33,327
"The Silence of the Lambs","Джонатан Демм",1991,"8.6 8.5 8.7",Трилер,118,19,272
"Star Wars: Episode IV","Джордж Лукас",1977,"8.6 8.5 8.7",Фантастика,121,11,775
"It's a Wonderful Life","Френк Капра",1946,"8.6 8.5 8.7",Драма,130,3.2,3.3
"Seven Samurai","Акіра Куросава",1954,"8.6 8.7 8.5",Бойовик,207,0.5,0.3
"Whiplash","Деміен Шазелл",2014,"8.5 8.6 8.4",Драма,106,3.3,50
"The Intouchables","Олів'є Накаш",2011,"8.5 8.6 8.4 8.5",Комедія,112,10.8,426
"The Prestige","Крістофер Нолан",2006,"8.5 8.4 8.6",Трилер,130,40,109
"The Departed","Мартін Скорсезе",2006,"8.5 8.4 8.6",Кримінал,151,90,291
"Gladiator","Рідлі Скотт",2000,"8.5 8.4 8.6 8.3",Бойовик,155,103,465
"The Lion King","Роджер Аллерс",1994,"8.5 8.4 8.6",Анімація,88,45,968
"American History X","Тоні Кей",1998,"8.5 8.4 8.6",Драма,119,20,6.7
"Back to the Future","Роберт Земекіс",1985,"8.5 8.4 8.6",Фантастика,116,19,388
"Terminator 2: Judgment Day","Джеймс Кемерон",1991,"8.5 8.6 8.4",Фантастика,137,102,520
