Назва,Категорія,Ціна,Кількість,Рейтинги,Постачальник,Дата,Знижка
"iPhone 14 Pro","Електроніка",32999,45,"4.8 4.9 4.7 4.8","Apple Inc.","2024-01-15",5
"Samsung Galaxy S23","Електроніка",28499,67,"4.7 4.8 4.6 4.7","Samsung Electronics","2024-01-20",10
"MacBook Air M2","Електроніка",42999,23,"4.9 4.8 4.9 4.8","Apple Inc.","2024-02-01",0
"Sony WH-1000XM5","Електроніка",12999,89,"4.8 4.7 4.8 4.9","Sony Corporation","2024-02-10",15
"Dell XPS 15","Електроніка",45999,34,"4.6 4.7 4.5 4.6","Dell Technologies","2024-02-15",8
"AirPods Pro 2","Електроніка",9999,156,"4.7 4.8 4.6 4.7","Apple Inc.","2024-03-01",0
"iPad Air","Електроніка",22999,78,"4.8 4.7 4.8 4.9","Apple Inc.","2024-03-05",5
"Kindle Paperwhite","Електроніка",5999,234,"4.6 4.7 4.5 4.6","Amazon","2024-03-10",12
"Nintendo Switch OLED","Електроніка",11999,45,"4.8 4.9 4.7 4.8","Nintendo","2024-03-15",0
"PlayStation 5","Електроніка",16999,12,"4.9 4.8 4.9 4.7","Sony Corporation","2024-03-20",0
"Джинси Levi's 501","Одяг",2499,145,"4.5 4.6 4.4 4.5","Levi Strauss","2024-01-10",20
"Кросівки Nike Air Max","Одяг",3999,89,"4.7 4.8 4.6 4.7","Nike Inc.","2024-01-25",15
"Куртка Columbia","Одяг",5999,67,"4.6 4.7 4.5 4.6","Columbia Sportswear","2024-02-05",25
"Футболка Adidas","Одяг",899,234,"4.4 4.5 4.3 4.4","Adidas AG","2024-02-12",10
"Светр Zara","Одяг",1999,123,"4.3 4.4 4.2 4.3","Inditex","2024-02-20",30
"Плаття H&M","Одяг",1499,178,"4.2 4.3 4.1 4.2","H&M Group","2024-03-01",35
"Кросівки Adidas Ultraboost","Одяг",4999,56,"4.8 4.7 4.8 4.9","Adidas AG","2024-03-08",10
"Пальто Mango","Одяг",6999,34,"4.5 4.6 4.4 4.5","Mango","2024-03-12",20
"Штани Uniqlo","Одяг",1799,156,"4.6 4.5 4.6 4.7","Fast Retailing","2024-03-18",15
"Сорочка Tommy Hilfiger","Одяг",2999,89,"4.5 4.6 4.4 4.5","PVH Corp.","2024-03-22",12
"Органічна кава Lavazza","Продукти",459,567,"4.7 4.8 4.6 4.7","Lavazza","2024-01-05",0
